Node,X-Coord,Y-Coord
632,157962.750,8263156.949
633,157944.800,8263150.661
634,157933.779,8263146.749
635,157900.354,8263391.031
636,157907.074,8263373.201
637,157911.471,8263360.032
638,157918.039,8263337.200
639,157925.688,8263318.869
640,157932.141,8263299.380
641,157939.742,8263277.988
642,157948.833,8263251.539
643,157957.040,8263227.327
644,157965.261,8263203.743
645,157970.906,8263186.811
646,157978.424,8263165.845
647,157529.964,8263886.280
648,157555.159,8263894.737
649,157548.719,8264704.049
650,157492.290,8264698.022
651,156872.978,8265189.357
652,156872.970,8265186.737
653,157731.027,8264740.261
654,157730.338,8264746.977
657,156690.682,8266452.431
658,156691.264,8266462.488
659,156640.622,8266043.625
660,156631.157,8266044.488
661,157900.150,8266699.878
662,157901.516,8266698.981
663,157503.685,8266317.234
664,157505.078,8266332.672
665,157536.989,8263359.116
666,157533.656,8263357.573
667,157818.939,8264003.997
668,157822.636,8264005.227
669,157362.379,8263709.896
670,157361.322,8263712.773
671,158056.667,8263900.462
672,158190.293,8263945.347
673,156700.183,8264078.134
674,156716.653,8264248.491
675,157124.712,8265432.651
676,157125.408,8265436.178
677,156933.071,8265449.487
678,156933.047,8265454.127
679,157889.876,8265814.429
680,157905.572,8265812.842
681,158225.555,8263852.038
682,158238.986,8263856.513
683,158242.876,8263857.853
684,158247.039,8263859.290
685,157166.856,8265432.849
686,157168.340,8265433.134
687,157539.571,8266371.057
688,157564.489,8266369.030
689,157170.804,8266539.905
690,157165.118,8266540.088
691,156827.307,8265860.348
692,158091.350,8263783.804
693,158222.063,8263850.845
694,157535.412,8266375.049
695,157048.485,8265833.325
696,157037.817,8265704.308
697,156578.888,8264658.097
698,156948.878,8265219.147
699,156948.457,8265175.063
700,157123.207,8265829.698
701,157123.493,8265833.511
702,156905.997,8266018.712
703,156902.685,8266018.981
704,157227.438,8266343.802
705,157227.804,8266347.285
706,157162.592,8265997.436
707,157162.922,8266001.218
708,157830.754,8265952.991
709,157830.361,8265949.352
710,157886.713,8265814.836
711,157887.279,8265814.673
712,156876.358,8264495.747
713,156876.399,8264455.949
714,157433.793,8266802.116
715,157433.783,8266799.986
716,157619.347,8266510.009
717,157618.477,8266510.009
718,157617.883,8266509.976
719,157490.397,8266561.439
720,157488.522,8266561.674
721,157900.604,8265733.826
722,157900.274,8265724.570
723,158028.008,8263845.952
724,158070.209,8263860.441
725,158171.668,8263999.584
726,158153.613,8264049.784
727,158037.785,8263954.345
728,156845.490,8265614.661
729,156847.498,8265634.768
730,156849.791,8265661.260
731,156851.834,8265684.356
732,156853.990,8265706.202
733,156809.025,8265552.544
734,156802.799,8265490.902
735,156614.437,8265484.017
736,156541.077,8265491.137
737,156653.567,8265480.537
738,156745.297,8265472.457
739,158055.128,8263900.010
740,157194.606,8263483.032
741,157238.149,8263357.646
742,156795.891,8265491.679
743,157829.769,8265944.870
744,157444.079,8265972.702
745,157478.537,8266311.600
746,157485.320,8266375.117
747,157562.189,8266641.749
748,157563.871,8266644.161
749,157562.606,8266645.687
750,157562.721,8266650.189
751,157562.769,8266652.091
752,157579.809,8263902.887
753,157811.748,8264949.758
754,157813.567,8264949.687
755,157818.900,8264950.035
756,157819.943,8264950.138
757,156813.894,8263517.877
758,156821.141,8263508.648
759,157538.389,8263355.386
760,156664.164,8263623.953
761,158029.300,8263179.155
762,157372.299,8263946.847
763,157669.186,8264521.665
764,157668.392,8264532.703
765,157901.759,8263466.106
766,157862.703,8263452.562
767,158178.763,8264035.586
768,157993.029,8263498.319
769,157991.881,8263501.194
770,157717.959,8263186.226
771,157719.122,8263182.910
772,158203.361,8263905.642
773,158047.225,8263790.603
774,157978.606,8263989.855
775,158017.789,8263694.117
776,158049.889,8263518.567
777,158116.729,8263541.757
778,158048.741,8263521.515
779,157929.036,8263727.857
780,158167.319,8264067.127
781,158007.619,8263504.636
782,157948.619,8263670.177
783,158198.149,8263756.897
784,157988.279,8264004.437
785,156412.438,8263581.796
786,156413.169,8263581.815
787,156520.458,8263584.596
788,156405.608,8263509.946
789,156406.742,8263509.949
790,156524.498,8263510.326
791,156416.028,8263616.466
792,156812.608,8264078.676
793,156819.857,8263932.170
794,156811.758,8263932.716
795,156756.238,8263935.126
796,156741.398,8263626.478
801,156682.438,8263624.398
802,156706.107,8263625.195
803,156714.945,8263625.538
804,156723.782,8263625.880
805,156759.438,8264064.816
806,156533.088,8264575.727
807,156570.888,8264572.747
808,156628.108,8264731.637
809,156621.678,8264654.577
810,156655.304,8265022.154
811,156697.528,8265018.021
812,156699.948,8265018.393
813,157434.197,8266432.947
814,157394.193,8266436.920
815,157478.997,8266428.719
816,157489.410,8266419.135
817,157229.127,8266360.218
818,157903.379,8265768.646
819,157901.295,8265742.519
820,157900.568,8265734.497
821,157072.016,8266429.547
822,157114.472,8266428.561
823,157030.408,8266432.316
824,156985.834,8266437.183
825,156992.190,8266435.152
826,157000.156,8266434.397
827,157025.571,8266432.844
828,156943.528,8266440.582
829,156979.350,8266403.053
830,156964.858,8266392.377
831,157155.164,8266387.505
832,157157.261,8266404.678
833,157135.077,8265955.718
834,157092.747,8265959.748
